competitor_offer_id,competitor_name,customer_segment,industry,region,product_id,product_name,product_type,currency,tenor,benchmark_index,competitor_margin_pct,competitor_total_rate_pct,processing_fee_pct,early_settlement_fee_pct,valid_from,valid_to,source_document_id,source_document_name,confidence_score_pct,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
COMP0001,ADCB,SME,Trading,Ras Al Khaimah,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.95,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_004,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0002,Standard Chartered UAE,SME,Construction,Dubai,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.95,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_004,RM_Competitor_Offer_Emails_Jun_2026.msg,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0003,ADCB,SME,Manufacturing,Dubai,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.75,0.0,0.3,0.5,2026-06-01,2026-06-30,DOC_COMP_003,RM_Competitor_Offer_Emails_Jun_2026.msg,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0004,Standard Chartered UAE,SME,Marine Services,Ras Al Khaimah,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.5,0.0,0.15,0.75,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0005,Standard Chartered UAE,SME,Healthcare,Dubai,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.75,0.0,0.15,1.0,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0006,HSBC UAE,SME,Manufacturing,Ajman,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.65,0.0,0.25,0.75,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0007,Dubai Islamic Bank,Corporate,Construction,Dubai,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.9,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_002,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0008,ADCB,Corporate,Construction,Ras Al Khaimah,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.65,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0009,Emirates NBD,Corporate,Construction,Dubai,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.65,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0010,Dubai Islamic Bank,Corporate,Marine Services,Abu Dhabi,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.65,0.0,0.25,0.5,2026-06-01,2026-06-30,DOC_COMP_002,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0011,Standard Chartered UAE,Corporate,Technology,Sharjah,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.65,0.0,0.2,0.5,2026-06-01,2026-06-30,DOC_COMP_004,Competitor_Rate_Market_Scan_Jun_2026.pdf,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0012,HSBC UAE,Corporate,Retail,Abu Dhabi,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.3,0.0,0.3,1.0,2026-06-01,2026-06-30,DOC_COMP_001,RM_Competitor_Offer_Emails_Jun_2026.msg,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0013,HSBC UAE,SME,Construction,Ras Al Khaimah,PROD002,Term Loan,Loan,AED,12M,EIBOR,2.25,0.0,0.15,1.0,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0014,Mashreq Bank,SME,Logistics,Dubai,PROD002,Term Loan,Loan,AED,12M,EIBOR,2.4,0.0,0.25,0.75,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0015,Standard Chartered UAE,SME,Retail,Ras Al Khaimah,PROD002,Term Loan,Loan,AED,24M,EIBOR,2.25,0.0,0.15,1.0,2026-06-01,2026-06-30,DOC_COMP_003,Public_Tariff_Benchmark_Q2_2026.xlsx,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0016,Dubai Islamic Bank,SME,Logistics,Abu Dhabi,PROD002,Term Loan,Loan,AED,24M,EIBOR,1.95,0.0,0.15,1.0,2026-06-01,2026-06-30,DOC_COMP_003,RM_Competitor_Offer_Emails_Jun_2026.msg,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0017,Emirates NBD,SME,Healthcare,Dubai,PROD002,Term Loan,Loan,AED,36M,EIBOR,2.05,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_001,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0018,Dubai Islamic Bank,SME,Energy,Abu Dhabi,PROD002,Term Loan,Loan,AED,36M,EIBOR,1.8,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_004,Public_Tariff_Benchmark_Q2_2026.xlsx,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0019,Dubai Islamic Bank,Corporate,Technology,Abu Dhabi,PROD002,Term Loan,Loan,AED,12M,EIBOR,2.05,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_003,RM_Competitor_Offer_Emails_Jun_2026.msg,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0020,HSBC UAE,Corporate,Energy,Ajman,PROD002,Term Loan,Loan,AED,12M,EIBOR,1.95,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_002,Competitor_Rate_Market_Scan_Jun_2026.pdf,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0021,Emirates NBD,Corporate,Healthcare,Ras Al Khaimah,PROD002,Term Loan,Loan,AED,24M,EIBOR,2.05,0.0,0.2,0.5,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0022,HSBC UAE,Corporate,Manufacturing,Dubai,PROD002,Term Loan,Loan,AED,24M,EIBOR,1.75,0.0,0.25,0.5,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0023,ADCB,Corporate,Marine Services,Abu Dhabi,PROD002,Term Loan,Loan,AED,36M,EIBOR,1.75,0.0,0.3,0.75,2026-06-01,2026-06-30,DOC_COMP_002,Competitor_Rate_Market_Scan_Jun_2026.pdf,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0024,HSBC UAE,Corporate,Technology,Sharjah,PROD002,Term Loan,Loan,AED,36M,EIBOR,2.2,0.0,0.3,0.75,2026-06-01,2026-06-30,DOC_COMP_004,Public_Tariff_Benchmark_Q2_2026.xlsx,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0025,Standard Chartered UAE,SME,Technology,Sharjah,PROD003,Trade Finance LC,Trade Finance,AED,3M,EIBOR,0.95,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_002,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0026,Emirates NBD,SME,Technology,Abu Dhabi,PROD003,Trade Finance LC,Trade Finance,AED,3M,EIBOR,1.1,0.0,0.25,0.75,2026-06-01,2026-06-30,DOC_COMP_002,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0027,HSBC UAE,SME,Energy,Dubai,PROD003,Trade Finance LC,Trade Finance,AED,6M,EIBOR,0.95,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0028,Emirates NBD,SME,Healthcare,Ajman,PROD003,Trade Finance LC,Trade Finance,AED,6M,EIBOR,1.3,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_004,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0029,Dubai Islamic Bank,SME,Technology,Ras Al Khaimah,PROD003,Trade Finance LC,Trade Finance,AED,12M,EIBOR,1.2,0.0,0.3,0.5,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0030,Mashreq Bank,SME,Energy,Dubai,PROD003,Trade Finance LC,Trade Finance,AED,12M,EIBOR,0.95,0.0,0.25,0.5,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0031,HSBC UAE,Corporate,Trading,Ras Al Khaimah,PROD003,Trade Finance LC,Trade Finance,AED,3M,EIBOR,0.9,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0032,Standard Chartered UAE,Corporate,Healthcare,Ajman,PROD003,Trade Finance LC,Trade Finance,AED,3M,EIBOR,1.35,0.0,0.15,1.0,2026-06-01,2026-06-30,DOC_COMP_002,Public_Tariff_Benchmark_Q2_2026.xlsx,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0033,HSBC UAE,Corporate,Energy,Sharjah,PROD003,Trade Finance LC,Trade Finance,AED,6M,EIBOR,1.1,0.0,0.25,0.5,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0034,Emirates NBD,Corporate,Retail,Sharjah,PROD003,Trade Finance LC,Trade Finance,AED,6M,EIBOR,1.1,0.0,0.3,0.75,2026-06-01,2026-06-30,DOC_COMP_001,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0035,HSBC UAE,Corporate,Manufacturing,Ras Al Khaimah,PROD003,Trade Finance LC,Trade Finance,AED,12M,EIBOR,0.75,0.0,0.2,1.0,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0036,Standard Chartered UAE,Corporate,Healthcare,Sharjah,PROD003,Trade Finance LC,Trade Finance,AED,12M,EIBOR,0.75,0.0,0.25,0.5,2026-06-01,2026-06-30,DOC_COMP_004,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0037,HSBC UAE,SME,Energy,Sharjah,PROD004,Invoice Discounting,Trade Finance,AED,1M,EIBOR,1.2,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0038,Standard Chartered UAE,SME,Energy,Abu Dhabi,PROD004,Invoice Discounting,Trade Finance,AED,1M,EIBOR,1.8,0.0,0.25,0.75,2026-06-01,2026-06-30,DOC_COMP_002,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0039,ADCB,SME,Marine Services,Sharjah,PROD004,Invoice Discounting,Trade Finance,AED,3M,EIBOR,1.65,0.0,0.15,0.5,2026-06-01,2026-06-30,DOC_COMP_004,RM_Competitor_Offer_Emails_Jun_2026.msg,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0040,Dubai Islamic Bank,SME,Logistics,Abu Dhabi,PROD004,Invoice Discounting,Trade Finance,AED,3M,EIBOR,1.2,0.0,0.25,0.5,2026-06-01,2026-06-30,DOC_COMP_004,Public_Tariff_Benchmark_Q2_2026.xlsx,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
COMP0041,HSBC UAE,SME,Manufacturing,Abu Dhabi,PROD004,Invoice Discounting,Trade Finance,AED,6M,EIBOR,1.2,0.0,0.15,0.75,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01
