deal_id,customer_id,customer_name,customer_segment,risk_category,product_id,product_type,currency,tenor,treasury_rate_component,target_margin_component,risk_premium_component,operations_cost_component,relationship_discount_component,final_recommended_price,approved_price_pct,explanation_text
DEAL001,CUST011,Royal Hospitality LLC,SME,Medium,PROD002,Loan,AED,60M,6.0,2.45,0.45,1.1167,0.22,9.7967,8.33,Treasury/funding 6.00% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.22% = recommended 9.80%
DEAL002,CUST012,Skyline Real Estate,Corporate,High,PROD008,Deposit,AED,1M,5.05,0.25,0.95,0.0467,0.05,6.2467,6.0,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.95% + ops cost 0.05% - relationship discount 0.05% = recommended 6.25%
DEAL003,CUST014,Arabian Textiles,SME,Medium,PROD004,Trade Finance,AED,1M,5.05,1.8,0.45,1.4667,0.08,8.6867,6.92,Treasury/funding 5.05% + target margin 1.80% + risk premium 0.45% + ops cost 1.47% - relationship discount 0.08% = recommended 8.69%
DEAL004,CUST019,Coastal Marine Services,SME,Medium,PROD006,Loan,USD,24M,5.3,2.45,0.45,1.1167,0.2,9.1167,7.6,Treasury/funding 5.30% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.20% = recommended 9.12%
DEAL005,CUST002,Falcon Steel Industries,Corporate,Low,PROD002,Loan,AED,12M,5.55,2.3,0.1,0.1667,0.45,7.6667,7.25,Treasury/funding 5.55% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.45% = recommended 7.67%
DEAL006,CUST005,Emirates Healthcare Services,Corporate,Low,PROD008,Deposit,AED,1M,5.05,0.25,0.1,0.0467,0.4,5.0467,4.9,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.10% + ops cost 0.05% - relationship discount 0.40% = recommended 5.05%
DEAL007,CUST012,Skyline Real Estate,Corporate,High,PROD001,Loan,AED,1M,5.05,2.3,0.95,0.1667,0.05,8.4167,7.75,Treasury/funding 5.05% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.05% = recommended 8.42%
DEAL008,CUST018,Lulu Fresh Markets,Corporate,Medium,PROD005,Loan,AED,6M,5.4,2.3,0.45,0.1667,0.38,7.9367,7.67,Treasury/funding 5.40% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.38% = recommended 7.94%
DEAL009,CUST010,Metro Auto Parts LLC,SME,Medium,PROD002,Loan,AED,24M,5.7,2.45,0.45,1.1167,0.18,9.5367,8.02,Treasury/funding 5.70% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.18% = recommended 9.54%
DEAL010,CUST017,Red Dune Mining,Corporate,High,PROD007,Treasury,USD,6M,5.08,1.0,0.95,0.1067,0.08,7.0567,6.4,Treasury/funding 5.08% + target margin 1.00% + risk premium 0.95% + ops cost 0.11% - relationship discount 0.08% = recommended 7.06%
DEAL011,CUST004,Oasis Retail Group,SME,Medium,PROD005,Loan,AED,12M,5.55,2.45,0.45,1.1167,0.2,9.3667,8.1,Treasury/funding 5.55% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.20% = recommended 9.37%
DEAL012,CUST014,Arabian Textiles,SME,Medium,PROD001,Loan,AED,1M,5.05,2.45,0.45,1.1167,0.08,8.9867,7.02,Treasury/funding 5.05% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.08% = recommended 8.99%
DEAL013,CUST012,Skyline Real Estate,Corporate,High,PROD008,Deposit,AED,12M,5.55,0.25,0.95,0.0467,0.05,6.7467,6.55,Treasury/funding 5.55% + target margin 0.25% + risk premium 0.95% + ops cost 0.05% - relationship discount 0.05% = recommended 6.75%
DEAL014,CUST016,Capital Education Group,Corporate,Low,PROD001,Loan,AED,1M,5.05,2.3,0.1,0.1667,0.45,7.1667,6.4,Treasury/funding 5.05% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.45% = recommended 7.17%
DEAL015,CUST013,Union Pharma Trading,SME,Low,PROD008,Deposit,AED,6M,5.4,0.25,0.1,0.3,0.35,5.7,5.35,Treasury/funding 5.40% + target margin 0.25% + risk premium 0.10% + ops cost 0.30% - relationship discount 0.35% = recommended 5.70%
DEAL016,CUST016,Capital Education Group,Corporate,Low,PROD001,Loan,AED,3M,5.25,2.3,0.1,0.1667,0.45,7.3667,6.6,Treasury/funding 5.25% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.45% = recommended 7.37%
DEAL017,CUST013,Union Pharma Trading,SME,Low,PROD004,Trade Finance,AED,3M,5.25,1.8,0.1,1.4667,0.35,8.2667,6.55,Treasury/funding 5.25% + target margin 1.80% + risk premium 0.10% + ops cost 1.47% - relationship discount 0.35% = recommended 8.27%
DEAL018,CUST018,Lulu Fresh Markets,Corporate,Medium,PROD003,Trade Finance,AED,3M,5.25,1.65,0.45,0.2167,0.38,7.1867,6.42,Treasury/funding 5.25% + target margin 1.65% + risk premium 0.45% + ops cost 0.22% - relationship discount 0.38% = recommended 7.19%
DEAL019,CUST012,Skyline Real Estate,Corporate,High,PROD005,Loan,AED,3M,5.25,2.3,0.95,0.1667,0.05,8.6167,8.55,Treasury/funding 5.25% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.05% = recommended 8.62%
DEAL020,CUST008,Blue Wave Shipping,Corporate,Medium,PROD006,Loan,USD,12M,5.15,2.3,0.45,0.1667,0.35,7.7167,7.3,Treasury/funding 5.15% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.35% = recommended 7.72%
DEAL021,CUST010,Metro Auto Parts LLC,SME,Medium,PROD001,Loan,AED,3M,5.25,2.45,0.45,1.1167,0.18,9.0867,7.12,Treasury/funding 5.25% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.18% = recommended 9.09%
DEAL022,CUST005,Emirates Healthcare Services,Corporate,Low,PROD008,Deposit,AED,1M,5.05,0.25,0.1,0.0467,0.4,5.0467,4.8,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.10% + ops cost 0.05% - relationship discount 0.40% = recommended 5.05%
DEAL023,CUST013,Union Pharma Trading,SME,Low,PROD004,Trade Finance,AED,1M,5.05,1.8,0.1,1.4667,0.35,8.0667,6.25,Treasury/funding 5.05% + target margin 1.80% + risk premium 0.10% + ops cost 1.47% - relationship discount 0.35% = recommended 8.07%
DEAL024,CUST003,Gulf Star Logistics,Corporate,Medium,PROD002,Loan,AED,60M,6.0,2.3,0.45,0.1667,0.3,8.6167,8.25,Treasury/funding 6.00% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.30% = recommended 8.62%
DEAL025,CUST004,Oasis Retail Group,SME,Medium,PROD001,Loan,AED,3M,5.25,2.45,0.45,1.1167,0.2,9.0667,7.3,Treasury/funding 5.25% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.20% = recommended 9.07%
DEAL026,CUST003,Gulf Star Logistics,Corporate,Medium,PROD002,Loan,AED,60M,6.0,2.3,0.45,0.1667,0.3,8.6167,8.15,Treasury/funding 6.00% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.30% = recommended 8.62%
DEAL027,CUST016,Capital Education Group,Corporate,Low,PROD001,Loan,AED,1M,5.05,2.3,0.1,0.1667,0.45,7.1667,6.35,Treasury/funding 5.05% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.45% = recommended 7.17%
DEAL028,CUST016,Capital Education Group,Corporate,Low,PROD003,Trade Finance,AED,3M,5.25,1.65,0.1,0.2167,0.45,6.7667,6.15,Treasury/funding 5.25% + target margin 1.65% + risk premium 0.10% + ops cost 0.22% - relationship discount 0.45% = recommended 6.77%
DEAL029,CUST006,Desert Sands Construction,Corporate,High,PROD008,Deposit,AED,1M,5.05,0.25,0.95,0.0467,0.1,6.1967,5.95,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.95% + ops cost 0.05% - relationship discount 0.10% = recommended 6.20%
DEAL030,CUST017,Red Dune Mining,Corporate,High,PROD007,Treasury,USD,1M,4.95,1.0,0.95,0.1067,0.08,6.9267,6.32,Treasury/funding 4.95% + target margin 1.00% + risk premium 0.95% + ops cost 0.11% - relationship discount 0.08% = recommended 6.93%
DEAL031,CUST012,Skyline Real Estate,Corporate,High,PROD002,Loan,AED,36M,5.85,2.3,0.95,0.1667,0.05,9.2167,8.8,Treasury/funding 5.85% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.05% = recommended 9.22%
DEAL032,CUST013,Union Pharma Trading,SME,Low,PROD008,Deposit,AED,3M,5.25,0.25,0.1,0.3,0.35,5.55,5.15,Treasury/funding 5.25% + target margin 0.25% + risk premium 0.10% + ops cost 0.30% - relationship discount 0.35% = recommended 5.55%
DEAL033,CUST001,Al Noor Trading LLC,SME,Medium,PROD003,Trade Finance,AED,6M,5.4,1.8,0.45,1.4667,0.25,8.8667,6.8,Treasury/funding 5.40% + target margin 1.80% + risk premium 0.45% + ops cost 1.47% - relationship discount 0.25% = recommended 8.87%
DEAL034,CUST012,Skyline Real Estate,Corporate,High,PROD003,Trade Finance,AED,3M,5.25,1.65,0.95,0.2167,0.05,8.0167,7.4,Treasury/funding 5.25% + target margin 1.65% + risk premium 0.95% + ops cost 0.22% - relationship discount 0.05% = recommended 8.02%
DEAL035,CUST007,Pearl Foods Distribution,SME,Medium,PROD003,Trade Finance,AED,3M,5.25,1.8,0.45,1.4667,0.1,8.8667,6.65,Treasury/funding 5.25% + target margin 1.80% + risk premium 0.45% + ops cost 1.47% - relationship discount 0.10% = recommended 8.87%
DEAL036,CUST012,Skyline Real Estate,Corporate,High,PROD001,Loan,AED,1M,5.05,2.3,0.95,0.1667,0.05,8.4167,7.6,Treasury/funding 5.05% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.05% = recommended 8.42%
DEAL037,CUST006,Desert Sands Construction,Corporate,High,PROD005,Loan,AED,6M,5.4,2.3,0.95,0.1667,0.1,8.7167,8.5,Treasury/funding 5.40% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.10% = recommended 8.72%
DEAL038,CUST003,Gulf Star Logistics,Corporate,Medium,PROD002,Loan,AED,24M,5.7,2.3,0.45,0.1667,0.3,8.3167,7.95,Treasury/funding 5.70% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.30% = recommended 8.32%
DEAL039,CUST005,Emirates Healthcare Services,Corporate,Low,PROD008,Deposit,AED,12M,5.55,0.25,0.1,0.0467,0.4,5.5467,5.4,Treasury/funding 5.55% + target margin 0.25% + risk premium 0.10% + ops cost 0.05% - relationship discount 0.40% = recommended 5.55%
DEAL040,CUST001,Al Noor Trading LLC,SME,Medium,PROD008,Deposit,AED,1M,5.05,0.25,0.45,0.3,0.25,5.8,5.45,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.45% + ops cost 0.30% - relationship discount 0.25% = recommended 5.80%
DEAL041,CUST001,Al Noor Trading LLC,SME,Medium,PROD003,Trade Finance,AED,3M,5.25,1.8,0.45,1.4667,0.25,8.7167,6.5,Treasury/funding 5.25% + target margin 1.80% + risk premium 0.45% + ops cost 1.47% - relationship discount 0.25% = recommended 8.72%
DEAL042,CUST009,Green Energy MEA,Corporate,Low,PROD007,Treasury,USD,3M,5.0,1.0,0.1,0.1067,0.35,5.8567,5.25,Treasury/funding 5.00% + target margin 1.00% + risk premium 0.10% + ops cost 0.11% - relationship discount 0.35% = recommended 5.86%
DEAL043,CUST018,Lulu Fresh Markets,Corporate,Medium,PROD002,Loan,AED,12M,5.55,2.3,0.45,0.1667,0.38,8.0867,7.57,Treasury/funding 5.55% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.38% = recommended 8.09%
DEAL044,CUST005,Emirates Healthcare Services,Corporate,Low,PROD002,Loan,AED,24M,5.7,2.3,0.1,0.1667,0.4,7.8667,7.3,Treasury/funding 5.70% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.40% = recommended 7.87%
DEAL045,CUST011,Royal Hospitality LLC,SME,Medium,PROD008,Deposit,AED,12M,5.55,0.25,0.45,0.3,0.22,6.33,6.03,Treasury/funding 5.55% + target margin 0.25% + risk premium 0.45% + ops cost 0.30% - relationship discount 0.22% = recommended 6.33%
DEAL046,CUST009,Green Energy MEA,Corporate,Low,PROD006,Loan,USD,12M,5.15,2.3,0.1,0.1667,0.35,7.3667,7.0,Treasury/funding 5.15% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.35% = recommended 7.37%
DEAL047,CUST015,Prime Tech Solutions,SME,Low,PROD007,Treasury,USD,3M,5.0,1.15,0.1,0.72,0.3,6.67,5.35,Treasury/funding 5.00% + target margin 1.15% + risk premium 0.10% + ops cost 0.72% - relationship discount 0.30% = recommended 6.67%
DEAL048,CUST017,Red Dune Mining,Corporate,High,PROD007,Treasury,USD,3M,5.0,1.0,0.95,0.1067,0.08,6.9767,6.42,Treasury/funding 5.00% + target margin 1.00% + risk premium 0.95% + ops cost 0.11% - relationship discount 0.08% = recommended 6.98%
DEAL049,CUST013,Union Pharma Trading,SME,Low,PROD004,Trade Finance,AED,3M,5.25,1.8,0.1,1.4667,0.35,8.2667,6.55,Treasury/funding 5.25% + target margin 1.80% + risk premium 0.10% + ops cost 1.47% - relationship discount 0.35% = recommended 8.27%
DEAL050,CUST007,Pearl Foods Distribution,SME,Medium,PROD008,Deposit,AED,6M,5.4,0.25,0.45,0.3,0.1,6.3,6.0,Treasury/funding 5.40% + target margin 0.25% + risk premium 0.45% + ops cost 0.30% - relationship discount 0.10% = recommended 6.30%
DEAL051,CUST009,Green Energy MEA,Corporate,Low,PROD006,Loan,USD,60M,5.55,2.3,0.1,0.1667,0.35,7.7667,7.55,Treasury/funding 5.55% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.35% = recommended 7.77%
DEAL052,CUST006,Desert Sands Construction,Corporate,High,PROD002,Loan,AED,24M,5.7,2.3,0.95,0.1667,0.1,9.0167,8.5,Treasury/funding 5.70% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.10% = recommended 9.02%
DEAL053,CUST014,Arabian Textiles,SME,Medium,PROD002,Loan,AED,36M,5.85,2.45,0.45,1.1167,0.08,9.7867,8.32,Treasury/funding 5.85% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.08% = recommended 9.79%
DEAL054,CUST011,Royal Hospitality LLC,SME,Medium,PROD005,Loan,AED,12M,5.55,2.45,0.45,1.1167,0.22,9.3467,8.18,Treasury/funding 5.55% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.22% = recommended 9.35%
DEAL055,CUST017,Red Dune Mining,Corporate,High,PROD007,Treasury,USD,1M,4.95,1.0,0.95,0.1067,0.08,6.9267,6.37,Treasury/funding 4.95% + target margin 1.00% + risk premium 0.95% + ops cost 0.11% - relationship discount 0.08% = recommended 6.93%
DEAL056,CUST009,Green Energy MEA,Corporate,Low,PROD007,Treasury,USD,1M,4.95,1.0,0.1,0.1067,0.35,5.8067,5.25,Treasury/funding 4.95% + target margin 1.00% + risk premium 0.10% + ops cost 0.11% - relationship discount 0.35% = recommended 5.81%
DEAL057,CUST009,Green Energy MEA,Corporate,Low,PROD007,Treasury,USD,3M,5.0,1.0,0.1,0.1067,0.35,5.8567,5.15,Treasury/funding 5.00% + target margin 1.00% + risk premium 0.10% + ops cost 0.11% - relationship discount 0.35% = recommended 5.86%
DEAL058,CUST009,Green Energy MEA,Corporate,Low,PROD006,Loan,USD,24M,5.3,2.3,0.1,0.1667,0.35,7.5167,7.3,Treasury/funding 5.30% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.35% = recommended 7.52%
DEAL059,CUST003,Gulf Star Logistics,Corporate,Medium,PROD003,Trade Finance,AED,3M,5.25,1.65,0.45,0.2167,0.3,7.2667,6.6,Treasury/funding 5.25% + target margin 1.65% + risk premium 0.45% + ops cost 0.22% - relationship discount 0.30% = recommended 7.27%
DEAL060,CUST004,Oasis Retail Group,SME,Medium,PROD004,Trade Finance,AED,1M,5.05,1.8,0.45,1.4667,0.2,8.5667,6.6,Treasury/funding 5.05% + target margin 1.80% + risk premium 0.45% + ops cost 1.47% - relationship discount 0.20% = recommended 8.57%
